product_id,product_name,product_category,freshness_score,days_since_arrival,days_to_expiry,original_price,cost_price,current_stock,daily_sales,demand_level,season,discount_percentage,remaining_shelf_life_days
200094,Bun,Bakery,0.93,1,2,26.21,16.46,170,49,medium,winter,14.0,2
200095,Paneer,Dairy,0.54,6,1,126.57,97.07,80,28,medium,rainy,16.5,1
200096,Apple,Fruits,0.66,6,5,128.88,104.54,303,12,low,summer,17.7,5
200097,Bun,Bakery,0.93,0,3,29.08,21.43,189,41,low,rainy,11.2,3
200098,Cucumber,Vegetables,0.87,2,5,37.98,27.05,237,31,low,winter,16.1,5
200099,Fish Fillet,Meat,0.84,1,2,324.45,261.83,118,20,low,summer,17.5,2
200100,Grapes,Fruits,0.89,1,6,141.33,103.15,195,33,low,winter,11.7,6
200101,Paneer,Dairy,0.69,3,4,120.1,89.31,130,20,low,summer,25.3,4
200102,Muffin,Bakery,0.86,1,2,35.69,25.57,85,93,high,rainy,6.7,2
200103,Muffin,Bakery,0.95,2,2,33.8,26.67,81,78,high,rainy,9.7,2
200104,Tomato,Vegetables,0.72,4,4,33.51,24.98,106,25,medium,rainy,9.2,4
200105,Croissant,Bakery,0.87,2,2,59.2,42.51,186,76,medium,winter,10.4,2
200106,Carrot,Vegetables,0.92,1,12,38.33,30.68,149,21,low,rainy,14.7,12
200107,Grapes,Fruits,0.92,0,7,120.16,82.59,269,74,medium,winter,0.7,7
200108,Milk,Dairy,0.69,4,2,59.0,38.25,164,65,medium,rainy,14.7,2
200109,Papaya,Fruits,0.82,2,2,84.47,64.63,203,39,low,winter,14.3,2
200110,Paneer,Dairy,0.75,3,5,116.68,87.66,226,18,low,rainy,18.7,5
200111,Mutton,Meat,0.68,3,5,726.78,532.01,129,17,low,summer,24.0,5
200112,Carrot,Vegetables,0.68,12,3,42.06,29.98,82,38,medium,rainy,8.2,3
200113,Banana,Fruits,0.84,2,5,57.8,35.62,194,36,low,summer,9.7,5
200114,Paneer,Dairy,0.94,0,6,118.02,74.53,172,64,medium,rainy,0.5,6
200115,Milk,Dairy,0.89,1,5,53.97,41.0,283,75,medium,rainy,2.4,5
200116,Minced Meat,Meat,0.92,1,4,296.02,189.62,142,46,medium,winter,5.5,4
200117,Bread,Bakery,0.87,2,3,39.35,29.32,168,47,medium,winter,7.7,3
200118,Carrot,Vegetables,0.89,3,12,39.34,31.83,309,77,medium,rainy,1.8,12
200119,Orange,Fruits,0.66,7,3,98.95,65.2,252,44,low,rainy,18.4,3
200120,Paneer,Dairy,0.72,4,3,124.09,84.4,198,63,medium,winter,11.9,3
200121,Spinach,Vegetables,0.81,1,4,26.89,17.29,280,55,low,summer,16.7,4
200122,Sausage,Meat,0.77,4,5,192.55,122.93,69,33,medium,summer,3.7,5
200123,Sausage,Meat,0.8,4,5,171.52,131.23,144,26,low,winter,11.8,5
200124,Grapes,Fruits,0.67,4,2,125.7,93.28,263,59,medium,rainy,16.5,2
200125,Mutton,Meat,0.8,3,3,663.15,441.8,103,36,medium,rainy,2.6,3
200126,Cheese,Dairy,0.47,9,11,227.86,172.15,120,53,medium,summer,13.2,11
200127,Bread,Bakery,0.95,1,3,39.95,26.97,192,44,medium,rainy,6.6,3
200128,Tomato,Vegetables,0.67,6,3,32.62,26.33,167,49,medium,rainy,9.3,3
200129,Bun,Bakery,0.84,2,1,28.48,21.95,244,74,medium,winter,10.8,1
200130,Spinach,Vegetables,0.9,0,3,28.67,22.81,63,31,medium,summer,4.5,3
200131,Cheese,Dairy,0.69,5,14,197.24,153.78,186,32,low,summer,18.5,14
200132,Minced Meat,Meat,0.74,3,1,327.93,236.36,173,28,low,rainy,23.4,1
200133,Bun,Bakery,0.99,0,3,29.65,18.04,227,29,low,rainy,23.8,3
200134,Potato,Vegetables,0.8,8,12,35.08,26.54,251,40,low,rainy,14.5,12
200135,Butter,Dairy,0.75,3,28,96.92,73.26,76,72,high,summer,4.2,28
200136,Cheese,Dairy,0.18,18,2,196.44,159.76,139,28,low,winter,19.6,2
200137,Cheese,Dairy,0.44,11,9,216.72,157.93,142,31,low,rainy,16.8,9
200138,Butter,Dairy,0.44,17,12,103.85,64.17,207,37,low,rainy,20.6,12
200139,Cheese,Dairy,0.41,12,8,217.57,141.76,157,28,low,winter,18.0,8
200140,Fish Fillet,Meat,0.94,0,3,342.27,245.38,110,28,medium,winter,7.0,3
200141,Mutton,Meat,0.78,3,4,738.7,571.58,126,44,medium,rainy,7.4,4
200142,Banana,Fruits,0.68,4,2,52.12,33.34,174,55,medium,winter,15.2,2
200143,Tomato,Vegetables,0.82,3,5,35.57,21.81,61,41,high,winter,0.9,5
200144,Butter,Dairy,0.54,15,14,99.0,59.62,82,72,high,rainy,3.2,14
200145,Minced Meat,Meat,0.72,3,2,277.73,184.77,41,28,high,summer,12.2,2
200146,Chicken Breast,Meat,0.76,3,1,266.88,210.52,126,18,low,summer,21.2,1
200147,Bread,Bakery,0.84,1,4,41.21,30.89,171,44,medium,summer,8.5,4
200148,Chicken Breast,Meat,0.86,2,2,280.15,221.02,57,22,medium,winter,15.2,2
200149,Apple,Fruits,0.58,9,3,141.03,95.6,306,35,low,summer,28.5,3
200150,Mutton,Meat,0.87,1,6,682.98,548.43,117,48,medium,summer,4.2,6
200151,Mutton,Meat,0.73,4,3,739.15,586.38,43,38,high,rainy,3.9,3
200152,Sausage,Meat,0.81,4,6,166.99,132.16,48,22,medium,rainy,5.5,6
200153,Banana,Fruits,0.88,2,5,55.35,43.81,270,69,medium,winter,0.6,5
200154,Papaya,Fruits,0.83,2,4,82.11,54.95,237,21,low,winter,20.3,4
200155,Spinach,Vegetables,0.92,0,4,30.1,21.52,172,85,medium,summer,6.3,4
200156,Cheese,Dairy,0.95,0,20,214.61,135.82,124,50,medium,rainy,5.4,20
200157,Tomato,Vegetables,0.67,4,4,34.83,21.55,295,49,low,summer,21.4,4
200158,Yogurt,Dairy,0.52,6,1,69.59,52.4,100,48,medium,winter,20.5,1
200159,Tomato,Vegetables,0.68,7,1,34.63,23.87,223,34,low,rainy,27.5,1
200160,Carrot,Vegetables,0.95,0,14,38.62,26.34,184,33,low,winter,7.8,14
200161,Grapes,Fruits,0.63,4,2,134.84,87.47,172,43,medium,rainy,14.7,2
200162,Yogurt,Dairy,0.94,1,7,66.93,54.38,258,42,low,rainy,11.9,7
200163,Orange,Fruits,0.62,7,2,83.79,53.15,318,30,low,winter,25.9,2
200164,Spinach,Vegetables,0.9,0,4,28.03,20.81,169,19,low,summer,18.3,4
200165,Bread,Bakery,0.78,3,1,39.09,31.99,236,86,medium,summer,13.1,1
200166,Papaya,Fruits,0.77,1,3,82.73,50.08,199,68,medium,rainy,11.4,3
200167,Cake,Bakery,0.99,0,4,247.27,192.74,190,79,medium,winter,6.3,4
200168,Orange,Fruits,0.76,4,6,83.36,66.32,137,18,low,summer,18.1,6
200169,Orange,Fruits,0.57,9,1,96.83,73.91,317,67,low,winter,22.7,1
200170,Milk,Dairy,0.59,5,2,55.19,42.66,137,48,medium,rainy,16.2,2
200171,Apple,Fruits,0.55,8,5,144.42,91.33,231,61,medium,summer,6.9,5
200172,Bun,Bakery,0.88,2,2,29.95,20.01,243,76,medium,rainy,10.2,2
200173,Banana,Fruits,0.57,5,1,50.72,35.99,110,69,high,winter,12.3,1
200174,Bread,Bakery,0.9,2,2,45.02,34.12,174,35,low,summer,21.9,2
200175,Potato,Vegetables,0.6,18,3,33.14,20.11,270,59,low,winter,18.0,3
200176,Sausage,Meat,0.51,8,2,187.22,124.0,87,11,low,summer,32.4,2
200177,Spinach,Vegetables,0.86,1,4,28.89,18.15,237,41,low,rainy,18.1,4
200178,Spinach,Vegetables,0.89,1,2,26.9,18.45,90,70,high,rainy,8.4,2
200179,Paneer,Dairy,0.69,4,3,110.94,75.93,210,38,low,winter,18.9,3
200180,Muffin,Bakery,0.88,1,3,32.56,19.91,129,26,low,rainy,14.2,3
200181,Spinach,Vegetables,0.83,1,2,27.26,21.41,150,60,medium,rainy,15.3,2
200182,Spinach,Vegetables,0.91,0,4,29.07,22.78,273,17,low,summer,18.8,4
200183,Paneer,Dairy,0.81,2,6,129.28,82.43,176,32,low,winter,9.5,6
200184,Mutton,Meat,0.76,5,1,707.51,478.44,175,12,low,winter,30.2,1
200185,Banana,Fruits,0.88,2,5,50.94,39.77,103,40,medium,rainy,1.2,5
200186,Paneer,Dairy,0.56,6,2,124.15,98.57,306,38,low,rainy,20.0,2
200187,Sausage,Meat,0.83,2,9,175.32,116.06,90,27,medium,rainy,3.9,9
200188,Grapes,Fruits,0.9,1,6,140.49,103.88,266,71,medium,winter,1.3,6
200189,Papaya,Fruits,0.65,4,2,82.06,54.98,314,20,low,rainy,31.7,2
200190,Cucumber,Vegetables,0.86,0,7,33.97,25.35,302,79,medium,summer,1.5,7
200191,Minced Meat,Meat,0.76,3,2,291.96,235.87,47,38,high,summer,11.4,2
200192,Muffin,Bakery,0.88,2,1,34.07,20.88,222,90,medium,rainy,14.4,1
200193,Yogurt,Dairy,0.59,4,3,69.94,50.87,76,64,high,summer,10.4,3
200194,Bread,Bakery,0.78,3,1,40.62,30.53,169,27,low,summer,19.0,1
200195,Potato,Vegetables,0.54,15,5,30.35,22.15,75,23,medium,summer,9.7,5
200196,Sausage,Meat,0.83,2,8,191.55,135.73,88,11,low,summer,21.4,8
200197,Bread,Bakery,0.84,3,2,40.71,29.78,161,23,low,rainy,27.4,2
200198,Apple,Fruits,0.66,5,6,138.17,90.32,300,37,low,rainy,21.1,6
200199,Butter,Dairy,0.68,9,21,91.14,66.27,108,25,medium,rainy,5.5,21
200200,Papaya,Fruits,0.73,3,2,84.32,59.25,142,69,medium,rainy,11.7,2
200201,Cheese,Dairy,0.77,3,16,203.87,143.92,154,36,medium,summer,6.1,16
200202,Carrot,Vegetables,0.75,6,7,37.71,28.71,179,29,low,rainy,14.5,7
200203,Tomato,Vegetables,0.7,6,1,37.46,22.92,69,73,high,winter,13.4,1
200204,Apple,Fruits,0.55,8,3,148.75,92.51,318,21,low,winter,24.6,3
200205,Grapes,Fruits,0.64,5,2,125.61,87.7,248,79,medium,winter,12.9,2
200206,Cucumber,Vegetables,0.75,5,1,37.55,25.59,276,76,medium,winter,13.0,1
200207,Grapes,Fruits,0.81,1,6,131.48,93.23,93,53,high,summer,0.5,6
200208,Sausage,Meat,0.62,6,3,181.29,141.94,68,17,medium,summer,15.7,3
200209,Papaya,Fruits,0.66,4,1,82.56,49.99,285,50,low,rainy,23.1,1
200210,Carrot,Vegetables,0.72,8,6,37.38,27.59,69,17,medium,summer,5.3,6
200211,Papaya,Fruits,0.85,2,2,85.95,52.68,307,39,low,winter,27.5,2
200212,Butter,Dairy,0.64,14,17,92.78,72.59,191,65,medium,summer,10.6,17
200213,Bread,Bakery,0.92,1,2,42.98,34.71,155,49,medium,winter,12.6,2
200214,Cucumber,Vegetables,0.84,4,2,35.7,23.55,273,43,low,winter,21.6,2
200215,Spinach,Vegetables,0.99,1,2,26.31,21.28,242,15,low,winter,17.2,2
200216,Banana,Fruits,0.52,5,2,54.18,37.24,172,60,medium,summer,17.3,2
200217,Banana,Fruits,0.86,1,5,58.56,44.32,74,67,high,winter,0.0,5
200218,Milk,Dairy,0.62,4,2,61.31,37.91,319,50,low,rainy,25.9,2
200219,Milk,Dairy,0.85,1,4,57.51,43.47,71,12,low,summer,18.4,4
200220,Spinach,Vegetables,0.71,3,1,28.85,17.58,242,50,low,summer,23.6,1
200221,Cheese,Dairy,0.24,15,6,225.03,157.98,186,18,low,winter,28.0,6
200222,Bread,Bakery,0.88,1,3,40.56,32.1,82,19,medium,rainy,9.2,3
200223,Orange,Fruits,0.7,6,3,95.02,62.78,190,41,low,winter,13.9,3
200224,Yogurt,Dairy,0.92,1,7,64.42,47.82,215,72,medium,rainy,3.0,7
200225,Cucumber,Vegetables,0.78,2,5,38.92,29.48,122,47,medium,summer,6.4,5
200226,Cucumber,Vegetables,0.76,4,2,36.53,26.16,128,75,high,rainy,6.0,2
200227,Tomato,Vegetables,0.99,0,8,37.22,26.55,75,51,high,winter,0.0,8
200228,Potato,Vegetables,0.51,18,2,34.57,25.58,249,43,low,rainy,24.3,2
200229,Tomato,Vegetables,0.6,7,1,32.36,25.01,250,36,low,summer,18.7,1
200230,Minced Meat,Meat,0.72,2,2,279.52,170.78,55,25,medium,rainy,14.0,2
200231,Banana,Fruits,0.8,2,4,53.39,32.95,104,69,high,winter,0.0,4
200232,Cheese,Dairy,0.56,7,14,208.34,170.21,170,51,medium,summer,10.9,14
200233,Apple,Fruits,0.89,2,10,136.01,89.15,152,85,high,rainy,0.0,10
200234,Cake,Bakery,0.8,2,2,241.74,154.01,238,40,low,summer,24.9,2
200235,Cake,Bakery,0.81,4,1,280.94,225.04,130,19,low,rainy,15.9,1
200236,Milk,Dairy,0.88,0,5,54.91,34.69,318,54,low,summer,11.9,5
200237,Bun,Bakery,0.97,0,2,26.95,19.15,251,44,low,winter,21.5,2
200238,Sausage,Meat,0.7,4,5,180.08,137.13,70,26,medium,summer,4.5,5
200239,Cucumber,Vegetables,0.75,5,1,39.13,31.24,209,26,low,winter,16.2,1
200240,Potato,Vegetables,0.9,3,17,31.36,21.45,286,31,low,winter,15.2,17
200241,Grapes,Fruits,0.59,4,2,132.73,90.85,176,50,medium,summer,17.3,2
200242,Banana,Fruits,0.86,2,4,51.8,40.93,165,12,low,winter,18.1,4
200243,Milk,Dairy,0.52,4,1,58.68,37.9,319,45,low,summer,30.3,1
200244,Banana,Fruits,0.63,3,4,59.8,41.91,316,52,low,summer,22.6,4
200245,Banana,Fruits,0.99,0,5,50.66,30.87,260,89,medium,rainy,1.2,5
200246,Croissant,Bakery,0.9,1,1,53.89,33.34,186,65,medium,winter,12.1,1
200247,Mutton,Meat,0.97,0,7,718.35,531.21,87,31,medium,winter,1.2,7
200248,Grapes,Fruits,0.65,4,3,126.76,79.61,72,20,medium,winter,8.1,3
200249,Muffin,Bakery,0.83,3,1,38.34,28.95,227,78,medium,rainy,11.5,1
200250,Croissant,Bakery,0.99,0,2,52.86,36.64,138,94,high,rainy,9.6,2
200251,Butter,Dairy,0.86,3,26,88.56,66.25,233,16,low,rainy,15.0,26
200252,Yogurt,Dairy,0.44,7,2,69.02,43.85,264,28,low,rainy,33.2,2
200253,Cake,Bakery,0.83,4,1,275.39,199.8,164,32,low,winter,20.5,1
200254,Potato,Vegetables,0.86,6,14,31.11,20.99,165,34,low,rainy,8.8,14
200255,Fish Fillet,Meat,0.76,2,1,345.43,214.86,47,17,medium,summer,15.9,1
200256,Muffin,Bakery,0.84,2,1,35.94,28.58,111,64,high,summer,7.6,1
200257,Carrot,Vegetables,0.7,12,2,42.26,30.59,148,72,medium,rainy,13.7,2
200258,Yogurt,Dairy,0.43,7,1,72.69,54.93,319,24,low,summer,22.5,1
200259,Banana,Fruits,0.96,0,5,57.69,40.38,295,81,medium,winter,0.4,5
200260,Fish Fillet,Meat,0.87,0,4,338.91,250.69,48,35,high,summer,4.9,4
200261,Potato,Vegetables,0.69,9,11,34.96,24.38,251,36,low,winter,17.8,11
200262,Paneer,Dairy,0.74,3,3,121.18,81.69,83,21,medium,winter,9.6,3
200263,Butter,Dairy,0.65,9,22,96.41,59.88,217,64,medium,summer,9.0,22
200264,Yogurt,Dairy,0.49,7,1,69.94,45.09,146,30,low,rainy,24.8,1
200265,Yogurt,Dairy,0.82,1,8,74.55,49.59,94,43,medium,rainy,2.2,8
200266,Carrot,Vegetables,0.71,10,3,37.36,23.75,218,37,low,winter,20.2,3
200267,Croissant,Bakery,0.93,0,2,51.5,32.36,93,59,high,rainy,9.8,2
200268,Bread,Bakery,0.94,1,4,43.81,26.48,212,34,low,winter,18.0,4
200269,Cheese,Dairy,0.81,4,15,212.52,170.24,246,75,medium,winter,0.8,15
200270,Bun,Bakery,0.94,0,2,29.76,21.43,174,90,high,rainy,8.4,2
200271,Paneer,Dairy,0.99,0,6,119.71,82.4,312,34,low,rainy,18.1,6
200272,Butter,Dairy,0.4,22,8,94.27,65.46,247,6,low,winter,28.0,8
200273,Bread,Bakery,0.85,1,2,43.82,34.37,85,75,high,summer,7.9,2
200274,Bread,Bakery,0.9,1,2,46.1,33.23,212,96,medium,summer,12.2,2
200275,Muffin,Bakery,0.85,2,2,35.53,28.57,156,64,medium,rainy,13.9,2
200276,Tomato,Vegetables,0.6,7,1,37.37,24.27,166,56,medium,rainy,15.3,1
200277,Chicken Breast,Meat,0.86,1,5,247.37,152.28,173,11,low,rainy,18.7,5
200278,Cake,Bakery,0.77,2,3,240.43,164.19,208,61,medium,rainy,8.5,3
200279,Orange,Fruits,0.83,2,8,97.0,69.8,91,50,high,winter,0.0,8
200280,Milk,Dairy,0.8,2,4,60.03,42.0,318,74,medium,rainy,7.2,4
200281,Cheese,Dairy,0.67,6,14,203.7,137.0,225,37,low,summer,18.9,14
200282,Papaya,Fruits,0.91,0,5,85.02,61.84,62,20,medium,summer,3.3,5
200283,Butter,Dairy,0.57,18,11,94.5,59.8,147,73,medium,winter,6.6,11
200284,Croissant,Bakery,0.99,1,2,56.02,33.91,205,71,medium,winter,15.9,2
200285,Croissant,Bakery,0.89,0,2,58.59,35.85,124,31,medium,rainy,11.3,2
200286,Milk,Dairy,0.58,4,3,54.79,41.8,95,32,medium,summer,11.6,3
200287,Grapes,Fruits,0.86,1,7,120.28,75.15,121,13,low,winter,17.3,7
200288,Papaya,Fruits,0.72,3,3,87.54,70.9,237,58,medium,summer,10.1,3
200289,Muffin,Bakery,0.89,1,4,36.94,25.61,100,78,high,rainy,4.3,4
200290,Banana,Fruits,0.76,2,3,55.73,36.21,249,45,low,rainy,18.1,3
200291,Paneer,Dairy,0.87,1,5,124.04,83.1,215,24,low,rainy,15.6,5
200292,Bread,Bakery,0.99,1,3,43.29,26.93,228,91,medium,winter,6.5,3
200293,Tomato,Vegetables,0.67,7,1,33.18,26.9,291,32,low,rainy,18.9,1
200294,Banana,Fruits,0.57,5,2,59.74,36.8,253,58,medium,rainy,16.0,2
200295,Papaya,Fruits,0.93,1,3,79.24,50.23,267,17,low,winter,22.7,3
200296,Cheese,Dairy,0.76,6,15,203.66,126.87,277,66,medium,winter,6.2,15
200297,Cake,Bakery,0.82,3,1,261.89,163.23,137,51,medium,rainy,14.3,1
200298,Bun,Bakery,0.8,0,3,29.36,22.16,150,76,high,summer,4.7,3
200299,Paneer,Dairy,0.96,0,6,115.44,93.17,224,46,low,winter,5.8,6
200300,Muffin,Bakery,0.8,3,1,38.02,30.92,183,28,low,summer,14.8,1
200301,Milk,Dairy,0.78,3,2,57.38,38.87,62,62,high,winter,13.6,2
200302,Cheese,Dairy,0.29,13,7,230.37,170.41,138,45,medium,rainy,13.1,7
200303,Fish Fillet,Meat,0.77,3,1,360.83,255.04,80,19,medium,rainy,13.1,1
200304,Croissant,Bakery,0.99,0,3,52.87,33.77,96,92,high,rainy,5.6,3
200305,Cucumber,Vegetables,0.95,0,6,33.46,26.37,162,35,low,summer,9.8,6
200306,Sausage,Meat,0.75,5,5,191.44,139.96,179,24,low,winter,17.6,5
200307,Orange,Fruits,0.69,6,3,89.46,68.7,145,37,medium,winter,8.2,3
200308,Fish Fillet,Meat,0.73,3,2,317.55,255.5,110,31,medium,winter,11.3,2
200309,Bun,Bakery,0.82,2,1,28.87,23.32,83,83,high,winter,7.4,1
