product_id,product_name,product_category,days_since_arrival,storage_type,storage_condition,packaging_type,display_type,is_damaged,weather_condition,product_sensitivity,freshness_score
100220,Banana,Fruits,8,room_temp,good,open,open_shelf,yes,normal,high,0.21
100221,Cake,Bakery,1,room_temp,average,open,open_shelf,no,cold,medium,0.84
100222,Paneer,Dairy,7,fridge,good,sealed,fridge,no,normal,high,0.52
100223,Sausage,Meat,7,freezer,average,sealed,freezer,no,normal,medium,0.69
100224,Cucumber,Vegetables,3,fridge,average,open,open_shelf,no,normal,medium,0.7
100225,Cheese,Dairy,3,fridge,good,sealed,fridge,yes,normal,medium,0.7
100226,Banana,Fruits,11,room_temp,average,open,open_shelf,yes,normal,high,0.05
100227,Bun,Bakery,5,room_temp,average,open,open_shelf,no,normal,medium,0.69
100228,Carrot,Vegetables,2,fridge,average,open,open_shelf,no,normal,low,0.82
100229,Grapes,Fruits,6,room_temp,good,open,open_shelf,no,normal,high,0.59
100230,Chicken Breast,Meat,1,freezer,good,sealed,freezer,no,cold,high,0.93
100231,Apple,Fruits,11,room_temp,good,sealed,open_shelf,no,hot,medium,0.59
100232,Croissant,Bakery,4,room_temp,good,open,open_shelf,no,hot,medium,0.77
100233,Apple,Fruits,8,room_temp,good,open,fridge,no,hot,medium,0.56
100234,Grapes,Fruits,11,room_temp,good,open,open_shelf,no,normal,high,0.38
100235,Muffin,Bakery,5,room_temp,good,sealed,open_shelf,no,normal,medium,0.81
100236,Orange,Fruits,8,room_temp,poor,open,fridge,no,hot,medium,0.31
100237,Sausage,Meat,7,fridge,good,sealed,open_shelf,no,normal,medium,0.49
100238,Muffin,Bakery,1,room_temp,poor,sealed,open_shelf,no,cold,medium,0.84
100239,Mutton,Meat,3,freezer,good,sealed,freezer,no,normal,medium,0.9
100240,Orange,Fruits,4,room_temp,good,sealed,open_shelf,no,cold,medium,0.89
100241,Grapes,Fruits,5,fridge,average,sealed,fridge,no,hot,high,0.39
100242,Yogurt,Dairy,8,fridge,average,sealed,open_shelf,no,hot,high,0.29
100243,Bun,Bakery,1,room_temp,average,sealed,open_shelf,yes,cold,medium,0.72
100244,Croissant,Bakery,0,fridge,poor,open,open_shelf,no,normal,medium,0.66
100245,Paneer,Dairy,4,fridge,good,sealed,open_shelf,yes,normal,high,0.46
100246,Paneer,Dairy,6,fridge,good,sealed,fridge,yes,hot,high,0.36
100247,Bun,Bakery,0,room_temp,poor,sealed,open_shelf,no,cold,medium,0.85
100248,Grapes,Fruits,7,freezer,good,sealed,freezer,no,hot,high,0.31
100249,Bread,Bakery,3,room_temp,good,sealed,open_shelf,no,normal,medium,0.87
100250,Sausage,Meat,3,freezer,poor,sealed,freezer,no,cold,medium,0.71
100251,Sausage,Meat,1,freezer,good,sealed,fridge,yes,normal,medium,0.67
100252,Cheese,Dairy,4,freezer,good,sealed,open_shelf,no,hot,medium,0.59
100253,Yogurt,Dairy,8,fridge,average,sealed,fridge,no,normal,high,0.48
100254,Chicken Breast,Meat,6,freezer,poor,sealed,freezer,no,normal,high,0.46
100255,Sausage,Meat,0,freezer,average,sealed,freezer,yes,normal,medium,0.73
100256,Grapes,Fruits,11,room_temp,average,open,open_shelf,no,normal,high,0.24
100257,Yogurt,Dairy,2,fridge,average,sealed,fridge,no,hot,high,0.75
100258,Bun,Bakery,1,room_temp,good,sealed,open_shelf,no,hot,medium,0.94
100259,Apple,Fruits,9,room_temp,average,open,open_shelf,no,normal,medium,0.6
100260,Carrot,Vegetables,0,fridge,good,open,fridge,no,hot,low,0.95
100261,Grapes,Fruits,10,room_temp,average,open,freezer,no,normal,high,0.22
100262,Carrot,Vegetables,5,fridge,poor,sealed,open_shelf,no,hot,low,0.66
100263,Croissant,Bakery,2,room_temp,good,open,fridge,yes,hot,medium,0.58
100264,Minced Meat,Meat,1,freezer,average,sealed,freezer,no,normal,high,0.88
100265,Cake,Bakery,0,room_temp,good,open,open_shelf,no,normal,medium,0.92
100266,Apple,Fruits,6,room_temp,average,open,open_shelf,no,normal,medium,0.67
100267,Minced Meat,Meat,5,room_temp,good,sealed,open_shelf,no,normal,high,0.53
100268,Cheese,Dairy,4,fridge,average,sealed,open_shelf,no,hot,medium,0.7
100269,Mutton,Meat,5,freezer,good,sealed,freezer,no,normal,medium,0.83
100270,Bun,Bakery,4,room_temp,good,open,open_shelf,no,normal,medium,0.84
100271,Cucumber,Vegetables,4,fridge,good,open,fridge,yes,hot,medium,0.56
100272,Cake,Bakery,4,room_temp,good,open,open_shelf,no,normal,medium,0.85
100273,Milk,Dairy,8,fridge,good,sealed,fridge,no,hot,high,0.32
100274,Cake,Bakery,0,room_temp,good,open,open_shelf,no,hot,medium,0.91
100275,Potato,Vegetables,7,freezer,good,open,freezer,no,normal,low,0.61
100276,Sausage,Meat,7,freezer,average,sealed,freezer,no,hot,medium,0.66
100277,Croissant,Bakery,1,room_temp,good,open,open_shelf,no,hot,medium,0.78
100278,Fish Fillet,Meat,2,freezer,good,sealed,freezer,no,hot,high,0.79
100279,Banana,Fruits,10,room_temp,good,sealed,open_shelf,no,normal,high,0.31
100280,Carrot,Vegetables,11,fridge,good,sealed,fridge,no,normal,low,0.78
100281,Yogurt,Dairy,4,fridge,good,sealed,open_shelf,no,normal,high,0.69
100282,Minced Meat,Meat,6,freezer,good,sealed,fridge,no,hot,high,0.56
100283,Carrot,Vegetables,4,fridge,good,open,fridge,no,hot,low,0.92
100284,Spinach,Vegetables,2,fridge,average,open,fridge,no,normal,high,0.8
100285,Carrot,Vegetables,6,fridge,poor,open,fridge,no,cold,low,0.75
100286,Mutton,Meat,5,freezer,average,sealed,open_shelf,no,normal,medium,0.63
100287,Carrot,Vegetables,10,fridge,average,open,fridge,no,cold,low,0.75
100288,Papaya,Fruits,8,room_temp,average,open,open_shelf,yes,normal,high,0.14
100289,Muffin,Bakery,5,room_temp,good,open,open_shelf,no,normal,medium,0.81
100290,Cucumber,Vegetables,6,fridge,average,open,fridge,no,normal,medium,0.68
100291,Fish Fillet,Meat,1,freezer,good,sealed,open_shelf,no,hot,high,0.73
100292,Muffin,Bakery,4,room_temp,average,open,open_shelf,no,hot,medium,0.69
100293,Carrot,Vegetables,1,fridge,good,sealed,fridge,no,normal,low,0.95
100294,Tomato,Vegetables,10,fridge,good,open,fridge,yes,cold,medium,0.48
100295,Muffin,Bakery,2,room_temp,poor,open,open_shelf,yes,hot,medium,0.48
100296,Orange,Fruits,8,room_temp,average,open,open_shelf,no,hot,medium,0.55
100297,Cucumber,Vegetables,6,fridge,good,open,freezer,no,hot,medium,0.62
100298,Butter,Dairy,7,fridge,average,sealed,fridge,no,normal,low,0.78
100299,Cake,Bakery,3,room_temp,average,open,open_shelf,no,hot,medium,0.74
100300,Minced Meat,Meat,2,freezer,good,sealed,fridge,no,hot,high,0.71
100301,Fish Fillet,Meat,2,freezer,good,sealed,freezer,no,normal,high,0.87
100302,Cucumber,Vegetables,9,fridge,poor,sealed,freezer,no,normal,medium,0.45
100303,Butter,Dairy,2,fridge,good,sealed,freezer,no,hot,low,0.84
100304,Cucumber,Vegetables,4,freezer,poor,open,fridge,no,normal,medium,0.52
100305,Minced Meat,Meat,5,freezer,average,sealed,freezer,no,hot,high,0.56
100306,Butter,Dairy,9,fridge,average,sealed,fridge,no,hot,low,0.7
100307,Cucumber,Vegetables,1,fridge,good,sealed,freezer,no,hot,medium,0.82
100308,Tomato,Vegetables,10,fridge,good,open,fridge,yes,hot,medium,0.35
100309,Tomato,Vegetables,8,fridge,average,open,fridge,no,hot,medium,0.55
100310,Croissant,Bakery,5,room_temp,average,open,open_shelf,no,hot,medium,0.63
100311,Muffin,Bakery,5,room_temp,good,open,open_shelf,no,normal,medium,0.78
100312,Cucumber,Vegetables,0,fridge,good,open,freezer,no,normal,medium,0.85
100313,Milk,Dairy,9,fridge,good,sealed,fridge,yes,cold,high,0.19
100314,Potato,Vegetables,7,fridge,good,open,fridge,no,hot,low,0.82
100315,Chicken Breast,Meat,5,freezer,average,sealed,freezer,no,normal,high,0.67
100316,Orange,Fruits,7,room_temp,good,sealed,open_shelf,no,normal,medium,0.74
100317,Cucumber,Vegetables,1,fridge,poor,open,fridge,no,hot,medium,0.72
100318,Bread,Bakery,5,room_temp,good,open,open_shelf,no,cold,medium,0.78
100319,Chicken Breast,Meat,2,freezer,poor,sealed,open_shelf,yes,hot,high,0.35
100320,Apple,Fruits,9,room_temp,average,open,open_shelf,yes,hot,medium,0.34
100321,Yogurt,Dairy,5,fridge,good,sealed,fridge,no,hot,high,0.59
100322,Orange,Fruits,8,room_temp,good,open,open_shelf,no,cold,medium,0.71
100323,Paneer,Dairy,6,fridge,good,sealed,fridge,no,normal,high,0.59
100324,Minced Meat,Meat,0,freezer,good,sealed,freezer,no,cold,high,0.99
100325,Chicken Breast,Meat,0,freezer,average,sealed,fridge,yes,normal,high,0.65
100326,Cheese,Dairy,8,fridge,poor,sealed,fridge,no,normal,medium,0.52
100327,Grapes,Fruits,0,room_temp,average,sealed,fridge,no,hot,high,0.75
100328,Apple,Fruits,9,room_temp,good,open,open_shelf,yes,normal,medium,0.41
100329,Cheese,Dairy,2,fridge,poor,sealed,fridge,no,normal,medium,0.75
100330,Potato,Vegetables,3,fridge,good,sealed,fridge,yes,hot,low,0.79
100331,Carrot,Vegetables,5,fridge,good,open,fridge,no,normal,low,0.93
100332,Cucumber,Vegetables,0,fridge,poor,open,fridge,no,normal,medium,0.8
100333,Fish Fillet,Meat,3,freezer,good,sealed,freezer,no,hot,high,0.72
100334,Muffin,Bakery,5,freezer,good,open,freezer,no,hot,medium,0.51
100335,Bread,Bakery,3,room_temp,poor,open,open_shelf,yes,hot,medium,0.47
100336,Orange,Fruits,7,room_temp,average,open,fridge,yes,normal,medium,0.43
100337,Carrot,Vegetables,10,fridge,average,open,fridge,no,hot,low,0.69
